name,proTeam,position,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,composite,recTarget,receptions,recYard,recTD,rushAtt,rushYard,rushTD
Cam Batson,TEN,WR,500,500,200,173.2,0,12,16,22,9,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Jauan Jennings,SF,WR,500,500,201,166.6,0,12,6,10,8,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Khadarel Hodge,CLE,WR,500,500,206,174.2,0,12,24,29,12,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Dez Bryant,FA,WR,500,500,209,126.0,0,12,32,32,32,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Josh Malone,NYJ,WR,500,500,210,154.0,0,12,25,26,20,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Malcolm Perry,MIA,WR,530,380.0,217,142.5,16,12,28,31,10,0,0.0,0.0,0,1239.27,0,0,0,0,0,0,0
Kevin White,SF,WR,500,500,218,165.7,0,12,6,10,8,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Freddie Swain,SEA,WR,500,500,219,166.7,0,12,3,8,3,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Marquez Callaway,NO,WR,500,500,222,149.0,0,12,7,6,18,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Brandon Powell,ATL,WR,500,500,226,158.0,0,12,1,1,21,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Nsimba Webster,LAR,WR,500,500,227,175.3,0,13,19,14,28,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Daurice Fountain,IND,WR,500,500,229,160.5,0,13,12,23,1,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Shelton Gibson,FA,WR,500,500,231,163.5,0,13,32,32,32,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Isaiah Wright,WAS,WR,500,500,232,164.5,0,13,9,12,11,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
David Sills,NYG,WR,500,500,235,168.5,0,13,8,15,2,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Devin Ross,NE,WR,500,500,238,174.5,0,13,20,13,29,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
Tyrie Cleveland,DEN,WR,500,500,240,184.0,0,13,32,32,19,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
JoJo Natson,CLE,WR,500,500,242,188.0,0,13,24,29,12,0,0.0,0.0,0,10000.0,0,0,0,0,0,0,0
